User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration,Subscription Duration,Month Acquisition,Group Age
1,Basic,10,2022-01-15,2023-10-06,United States,28,Male,Smartphone,1 Month,629,1,25-29
2,Premium,15,2021-05-09,2023-06-22,Canada,35,Female,Tablet,1 Month,774,5,35-39
3,Standard,12,2023-02-28,2023-06-27,United Kingdom,42,Male,Smart TV,1 Month,119,2,40-44
4,Standard,12,2022-10-07,2023-06-26,Australia,51,Female,Laptop,1 Month,262,10,50-54
5,Basic,10,2023-01-05,2023-06-28,Germany,33,Male,Smartphone,1 Month,174,1,30-34
6,Premium,15,2022-03-18,2023-06-27,France,29,Female,Smart TV,1 Month,466,3,25-29
7,Standard,12,2021-09-12,2023-06-25,Brazil,46,Male,Tablet,1 Month,651,9,45-49
8,Basic,10,2023-02-04,2023-06-24,Mexico,39,Female,Laptop,1 Month,140,2,35-39
9,Standard,12,2022-10-20,2023-06-23,Spain,37,Male,Smartphone,1 Month,246,10,35-39
11,Basic,10,2022-05-16,2023-06-22,United States,31,Female,Smartphone,1 Month,402,5,30-34
12,Premium,15,2023-03-23,2023-06-28,Canada,45,Male,Tablet,1 Month,97,3,45-49
13,Standard,12,2021-11-30,2023-06-27,United Kingdom,48,Female,Laptop,1 Month,574,11,45-49
14,Basic,10,2022-01-08,2023-06-26,Australia,27,Male,Smartphone,1 Month,534,1,25-29
16,Premium,15,2022-07-04,2023-06-27,France,36,Male,Tablet,1 Month,358,7,35-39
17,Basic,10,2022-01-24,2023-06-25,Brazil,30,Female,Laptop,1 Month,517,1,30-34
18,Standard,12,2021-10-18,2023-06-24,Mexico,43,Male,Smartphone,1 Month,614,10,40-44
19,Premium,15,2023-02-15,2023-06-23,Spain,32,Female,Smart TV,1 Month,128,2,30-34
20,Basic,10,2023-05-27,2023-06-22,Italy,41,Male,Tablet,1 Month,26,5,40-44
22,Basic,10,2022-07-22,2023-06-28,Canada,34,Male,Smartphone,1 Month,341,7,30-34
23,Standard,12,2021-05-12,2023-06-27,United Kingdom,49,Female,Smart TV,1 Month,776,5,45-49
24,Standard,12,2022-03-04,2023-06-26,Australia,31,Male,Tablet,1 Month,479,3,30-34
